CATEGORY,NAME OF BRAND,ADDRESS,POSTAL CODE
Cafe (Food),ADACafe@AgapeV,7A Toa Payoh Lorong 8 #01-01 Agape Village Singapore 319264,319264
Restaurant,A-One Claypot House,133 New Bridge Road #B1-47/48/49,59413
Restaurant,A-One Claypot House,9 Bishan Place #01-49/50,579837
Restaurant,A-One Claypot House,"1, Jurong West Central 2, #03-09/10/11",648886
Restaurant,A-One Claypot House,23 Serangoon Central #B1-73/74,556083
Restaurant,A-One Claypot House,10 Tampines Central 1 #05-04,529536
Restaurant,A-One Claypot House,1 Stadium Place #01-33/34,397628
Restaurant,A-One Claypot House,1 Woodlands Square #03-31,738099
Restaurant,A-One Claypot House,33 Sengkang West Ave #02-14/15/16,797653
Restaurant,A-One Claypot House,1 Harbourfront Walk #B2-25/25A VivoCity,98585
Restaurant,A-One Claypot House,3 Temaske Boulevard #B1-135,38983
Restaurant,A-One Claypot House,311 New Upper Changi Road #B1-52 Bedok Mall Singapore 467360,467360
Restaurant,A-One Claypot House,1 Sengkang West Avenue #02-36 Compass One Singapore 545078,545078
Restaurant,A-One Claypot House,17 Petir Road #01-11/12 Hillion Mall Singapore 678278,678278
Restaurant,A-One Claypot House,930 Yishun Avenue 2 #02-52/53/54 Northpoint City Singapore 767098,769098
Restaurant,A-One Claypot House,1 Vista Exchange Green #01-46 The Star Vista Singapore 138617,138617
Restaurant,A-One Claypot House,302 Tiong Bahru Road #02-134 Tiong Bahru Plaza Singapore 168732,168732
Restaurant,A-Poh Kitchen,354 Clementi Avenue 2 #01-233 Singapore 120354,120354
Restaurant,Asli Thai,40 Pasir Panjang Road #02-42 Mapletree Business City 2 Singapore 117383,117383
Bakery,Bakery Cuisine,60 Airport Boulevard Changi Airport Terminal 2 #026-37 Singapore 819643,819643
Bakery,Bakery Cuisine,10 Airport Boulevard Changi Airport Terminal 4 #02-11 Singapore 819665,819665
Bakery,Bakery Cuisine,"2 Fusionopolis Way, Innovis #01-07 Singapore 138634",138634
Bakery,Bakery Cuisine,"2 Jurong East Central, Jcube #B1-K08/K08A Singapore 609731",609731
Bakery,Bakery Cuisine,"1 Raffles Place, OUB Centre #B1-37 Singapore 048616",48616
Bakery,Bakery Cuisine,"11 Rivervale Crescent, Rivervale Mall #01-05/06/06A Singapore 545082",545082
Bakery,Bakery Cuisine,"21 Changi South Avenue 1, Expo MRT Station #01-01 Singapore 486065",486065
Bakery,Bakery Cuisine,"120 Maxwell Road, Tanjong Pagar MRT Station #B1-33/34 Singapore 069119",69119
Bakery,Bakery Cuisine,"18 Tai Seng Street, Mapletree 18 #B1-08/09 Singapore 539775",539775
Bakery,Bakery Cuisine Cafe,"30 Biopolis Way, Matrix #01-05 Singapore 138671",138671
Bakery,Bakery Cuisine Xpress,"120 Maxwell Road, Tanjong Pagar MRT Station #B1-01 Singapore 069119",69119
Restaurant,Blu Kouzina Pte. Ltd.,10 Dempsey Road #01-21 Singapore 247700,247700
Restaurant,Cali @ Changi,2 Changi Business Park Singapore 486015,486015
Restaurant,Cali @ Rochester,"31 Rochester Drive, #01-01/02 Singapore 138637",138637
Coffeeshop,Chargrill Bar,Blk 407 Ang Mo Kio Avenue 10 #01-733 Singapore 560407,560407
Coffeeshop,Chargrill Bar,Blk 88 Bedok North Street 4 #01-125 Singapore 460088,460088
Coffeeshop,Chargrill Bar,Blk 280 Bishan Street 24 #01-24 Singapore 570280,570280
Coffeeshop,Chargrill Bar,Blk 155 Bukit Batok Street 11 #01-324 Singapore 650155,650155
Coffeeshop,Chargrill Bar,Blk 347 Bukit Batok Street 34 #01-252 Singapore 650347,650347
Coffeeshop,Chargrill Bar,Blk 273 Bukit Batok East Avenue 4 #01-78 Singapore 650273,650273
