餐廳名稱,地址
COFFEE BEAN," JALAN PERUSAHAAN,   AUTOCITY,  13600,  PRAI,  PULAU PINANG"
STARBUCKS COFFEE," JALAN TENGKU KUDIN 2,   11700,  GLUGOR,  PULAU PINANG"
STARBUCKS COFFEE,"NO.118,  JALAN TANJONG TOKONG,   10470,  TANJONG TOKONG,  PULAU PINANG"
COFFEE BEAN,"NO.118,  JALAN TANJONG TOKONG,   10470,  TANJONG TOKONG,  PULAU PINANG"
COFFEE BEAN," JALAN BURMA,   10350,  GEORGE TOWN,  PULAU PINANG"
STARBUCKS COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
COFFEE BEAN," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
STARBUCKS COFFEE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
STARBUCKS COFFEE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
STARBUCKS COFFEE,"3068,  JALAN TODAK,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG"
COFFEE BEAN,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
OLDTOWN WHITE COFFEE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
GEORGE TOWN WHITE COFFEE," JALAN DR LIM CHWEE LEONG,   10000,  GEORGE TOWN,  PULAU PINANG"
COFFEE BEAN,"168A,  PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
OLDTOWN WHITE COFFEE," JALAN TENGKU KUDIN 2,   11700,  GLUGOR,  PULAU PINANG"
OLDTOWN WITHE COFFEE," MEDAN ANGSANA 3,   BANDAR BARU AYER ITAM,  11500,  AYER ITAM,  PULAU PINANG"
OLDTOWN WHITE COFFEE," JALAN PANTAI,   10200,  GEORGE TOWN,  PULAU PINANG"
OLDTOWN WHITE COFFEE," JALAN PERAK,   11600,  JELUTONG,  PULAU PINANG"
OLDTOWN WHITE COFFEE,"NO.62,  JALAN MAYANG PASIR 1,OFF JLN MAHSURI,   BAYAN BARU,  11950,  BAYAN LEPAS,  PULAU PINANG"
ROTI BAKAR KOPITIAM," HALAMAN BUKIT GAMBIR,   11700,  GLUGOR,  PULAU PINANG"
ROTI BAKAR KOPITIAM," JALAN DATO' KERAMAT,   10500,  GEORGE TOWN,  PULAU PINANG"
OLDTOWN WHITE COFFEE,"2828,  JALAN BARU,   13600,  PRAI,  PULAU PINANG"
AUSTIN CHACE COFFEE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
STARBUCKS COFFEE,"NO.182,  JALAN MAGAZINE,   10000,  GEORGE TOWN,  PULAU PINANG"
DOME CAFE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
STARBUCKS COFFEE," JALAN DR.LIM CHWEE LEONG,   10100,  GEORGE TOWN,  PULAU PINANG"
OLDTOWN WHITE COFFEE,"NO.14,  LORONG TERAS JAYA 8,  KAWASAN PERNIAGAAN TERAS JAYA ,  13400,  BUTTERWORTH,  PULAU PINANG"
J.CO DONUTS & COFFEE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
WINTERS WARMERS COFFEE & TEA HOUSE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
DOME CAFE,"100,  PERSIARAN BAYAN INDAH,   11900,  BAYAN LEPAS,  PULAU PINANG"
THE WHITE HOUSE COFFEE," JALAN RUMBIA,   11900,  BAYAN LEPAS,  PULAU PINANG"
KOPITAN CLASSIC WHITE COFFEE,"LOT 10053,  JALAN TODAK 6,   SUNWAY PERDANA,  13700,  SEBERANG JAYA,  PULAU PINANG"
HOMESTYLE KOPITIAM,"462,  JALAN PERMATANG JAWA,   14000,  BUKIT MERTAJAM,  PULAU PINANG"
WINTERS WARMERS COFFEE & TEA HOUSE,"3068,  JALAN TODAK,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG"
HOMESTYLE KOPITIAM,"2795,  JALAN CHAIN FERRY,  TAMAN INDERWASIH ,  13600,  PRAI,  PULAU PINANG"
SWENZ KOPITIAM,"NO.48,  JALAN TODAK 2,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG"
HOMESTYLE KOPITIAM,"NO.11,  JALAN TODAK 3,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG"
OLDTOWN WHITE COFFEE,"NO.47,  JALAN TODAK 2,   SUNWAY PERDANA,  13700,  SEBERANG JAYA,  PULAU PINANG"
TRAIN STATION COFFEE,"NO.40,  JALAN TODAK 3,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG"
STATION ONE COFFEE,"NO.3203,  JALAN MAJU,  TAMAN MAJU UTAMA ,  13700,  BUKIT MERTAJAM,  PULAU PINANG"
STARBUCKS COFFEE," JALAN PERUSAHAAN,   AUTOCITY,  13600,  PRAI,  PULAU PINANG"
DOME CAFE," JALAN SRI TANJONG PINANG,   10470,  TANJONG TOKONG,  PULAU PINANG"
OLDTOWN WHITE COFFEE," JALAN PERUSAHAAN,   AUTOCITY,  13600,  PRAI,  PULAU PINANG"
OLDTOWN WHITE COFFEE," LORONG MAJU UTAMA 2,  PUSAT PERNIAGAAN MAJU UTAMA ,  14000,  BUKIT MERTAJAM,  PULAU PINANG"
WINTERS WARMERS COFFEE & TEA HOUSE," JALAN PERUSAHAAN,   AUTOCITY,  13600,  BUKIT MERTAJAM,  PULAU PINANG"
ROTI BAKAR KOPITIAM," LEBUHRAYA THEAN TEIK,   11500,  AYER ITAM,  PULAU PINANG"
COFFEE BEAN," JALAN SRI TANJONG PINANG,   10470,  TANJONG TOKONG,  PULAU PINANG"
STARBUCKS COFFEE," JALAN SRI TANJONG PINANG,   10470,  TANJONG TOKONG,  PULAU PINANG"
KOPITAN CLASSIC WHITE COFFEE,"NO.4A/B,  LEBUH PANTAI,   10500,  GEORGE TOWN,  PULAU PINANG"
OLDTOWN WHITE COFFEE,"LOT 536,  JALAN LEBUH PANTAI,   10500,  GEORGE TOWN,  PULAU PINANG"
APEX COFFEE,"NO.2,  LORONG TERAS JAYA 8,  KAWASAN PERNIAGAAN TERAS JAYA ,  13400,  BUTTERWORTH,  PULAU PINANG"
KOPITAN CLASSIC WHITE COFFEE,"LOT 4535,  TINGKAT BUKIT MINYAK 9,  TAMAN BUKIT MINYAK ,  14000,  BUKIT MERTAJAM,  PULAU PINANG"
KOPITAN CLASSIC WHITE COFFEE,"NO.1,  MEDAN SERI IMPIAN 1,  PUSAT PERNIAGAAN SERI IMPIAN ,  14000,  BUKIT MERTAJAM,  PULAU PINANG"
WHO'S BRYAN COFFEE & CUISINE," LEBUHRAYA THEAN TEIK,   11500,  AYER ITAM,  PULAU PINANG"
D'HERITAGE COFFEE & CHOCOLATE HOUSE," LORONG HASSAN ABBAS 6,   11050,  TELUK BAHANG,  PULAU PINANG"
STARBUCKS COFFEE,"NO.4G,  JALAN PANTAI MOLEK,   10470,  TANJONG TOKONG,  PULAU PINANG"
BLACK CANYON COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
WINTERS WARMERS COFFEE & TEA HOUSE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
OLDTOWN WHITE COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
KOPITAN CLASSIC WHITE COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
PACIFIC COFFEE COMPANY,"NO.163D,  PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
STARBUCKS COFFEE,"NO.163D,  PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG"
