Name,Address,Country,City
月桂燒肉餐廳（提供哈根達斯）,"No. 57號, Aier Road, Ren’ai District, Keelung City, 200",1,27
漾漾好時餐廳 Goodtimes 基隆店,"No. 14-1號, Nanrong Road, Ren’ai District, Keelung City, 200",1,27
海勒牛排館/基隆牛排/基隆美食/基隆餐廳/基隆必吃/基隆美食推薦/基隆restaurants,"200, Keelung City, Ren’ai District, Aiyi Rd, 36號1F",1,27
象賀咖啡簡餐店,"200, Keelung City, Ren’ai District, Zhonger Road, 26號2樓",1,27
Vivaio Pasta,"No. 172號, Xin'er Road, Xinyi District, Keelung City, 201",1,27
Hai Longzhu Seafood Restaurant,"No. 71-7號, Jijin 3rd Road, Anle District, Keelung City, 204",1,27
樂多吐司,"202, Keelung City, Zhongzheng District, 義一路20巷3號",1,27
燒肉眾精緻炭火燒肉 基隆廟口店,"No. 4號, Aiwu Road, Ren’ai District, Keelung City, 200",1,27
Keelunggang Seafood Restaurant,"No. 181, Xin'er Road, Xinyi District, Keelung City, 201",1,27
Mo Chu Restaurant,"20047, Keelung City, Ren’ai District, Aisan Road, 87號2樓",1,27
基隆1973海景駐唱餐廳,"No. 132, Lane 51, Zhongshaner Road, Zhongshan District, Keelung City, 203",1,27
八斗邀 Badauyao,"No. 35, Badou Street, Zhongzheng District, Keelung City, 202",1,27
大嘴巴茶坊 - 基隆廟口,"200, Keelung City, Ren’ai District, Aisan Road, 57號3樓",1,27
歡樂食光/基隆美食推薦/基隆restaurants/基隆火鍋/基隆平價美食/基隆麻辣/基隆餐廳,"No. 230號, Dongxin Road, Xinyi District, Keelung City, 201",1,27
河豚很多,"No. 88, Zhengbin Road, Zhongzheng District, Keelung City, 202",1,27
阿根納原味餐廳,"2, No. 75號, Lane 116, Zhengbin Road, Zhongzheng District, Keelung City, 20246",1,27
龍坊複合式駐唱餐廳,"2 No. 106號, Aisan Road, Ren’ai District, Keelung City, 200",1,27
愚夫巧廚私房料理,"No. 240-1號, Fuxing Road, Zhongshan District, Keelung City, 203",1,27
Tanawat,"202, Keelung City, Zhongzheng District, 新豐街251巷4弄33號",1,27
Encounter Restaurant 遇見你餐廳,"No. 51號, Gangxi Street, Ren’ai District, Keelung City, 200",1,27
酒燒創意料理,"202, Keelung City, Zhongzheng District, 義一路20巷2號",1,27
基隆老司雞炸全雞專賣店(總店),"201, Keelung City, Xinyi District, 深澳坑路2之36號",1,27
饕客館,"No. 2號, Lane 2, Yier Road, Zhongzheng District, Keelung City, 202",1,27
手塩日式鐵板居食屋,"No. 9號, Lane 2, Yier Road, Zhongzheng District, Keelung City, 202",1,27
美有計劃Cafe,"20047, Keelung City, Ren’ai District, Lane 98, Aisan Road, 15號2",1,27
燒肉哦爺 （基隆東岸店）,"200, Keelung City, Ren’ai District, Rener Road, 257號2F",1,27
Santorini Sea View Restaurant,"203, Keelung City, Zhongshan District, Section 1, Huhai Road, 18號2樓",1,27
He Yi Restaurant,"No. 8號, Lane 62, Lelier Street, Anle District, Keelung City, 204",1,27
尚品屋精致涮涮锅,"No. 34之1號, Zhongzheng Rd, Zhongzheng District, Keelung City, 202",1,27
Ocean City Italian Restaurants,"202, Keelung City, Zhongzheng District, Xin'er Road, 290-1號2樓",1,27
Tokiya Keelung,"202, Keelung City, Zhongzheng District, Xinyi Rd, 177號12F",1,27
榮生魚片,"No. 2, Alley 3, Lane 118, Chenggongyi Road, Ren’ai District, Keelung City, 200",1,27
威肯創意廚房@基隆祥豐總店,"No. 81號, Xiangfeng Street, Zhongzheng District, Keelung City, 202",1,27
Xing Di Ling Restaurant,"No. 52號, Jijin 3rd Road, Anle District, Keelung City, 204",1,27
Rabbit nest righteousness kitchen,"No. 58, Wuling Street, Anle District, Keelung City, 204",1,27
基隆銘傳總店好運殿日式炸物,"No. 2號, Liumingchuan Rd, Ren’ai District, Keelung City, 20050",1,27
樂食意大利餐廳,"No. 98號, Rener Road, Ren’ai District, Keelung City, 200",1,27
福圓北方風味館,"201, Keelung City, Xinyi District, Xin'er Road, 281號2",1,27
漁品軒,"No. 71, Beining Road, Zhongzheng District, Keelung City, 202",1,27
芳鄰涮涮鍋私房套餐,"203, Keelung City, Zhongshan District, Fuxing Road, 261號B1",1,27
紅廚私房菜,"No. 61號, Xiaoyi Road, Ren’ai District, Keelung City, 20041",1,27
Ga Shang Xian Restaurant,"No. 67-1, Jijin 3rd Road, Anle District, Keelung City, 204",1,27
阿鹿私房菜,"No. 259, Shijian Road, Qidu District, Keelung City, 206",1,27
喬義思choice窯烤手作廚房基隆海洋都會店,"No. 236號, Rener Road, Ren’ai District, Keelung City, 200",1,27
NiceBay尼斯灣海洋景觀餐廳-推薦人氣必吃 親子聚餐 下午茶 海鮮鍋,"202, Keelung City, Zhongzheng District, Beining Road, 367號區域探索館4樓",1,27
賞鮨手作料理店,"20141, Keelung City, Xinyi District, Dongming Road, 2號1樓",1,27
傻大姐海景餐廳,"No. 45-2, Lane 369, Beining Road, Zhongzheng District, Keelung City, 202",1,27
新環港海鮮餐廳,"202, Keelung City, Zhongzheng District, 北寧路252巷6-12號",1,27
魯山人基隆店-海鮮火鍋/壽喜燒吃到飽,"202, Keelung City, Zhongzheng District, Xinyi Rd, 177號皇冠商業大樓33樓",1,27
真鮮活海產手作料理,"No. 123, Rener Road, Ren’ai District, Keelung City, 200",1,27
邦彼諾 Bambino,"No. 4號, Gangxi Street, Ren’ai District, Keelung City, 200",1,27
幸福10號店,"No. 10號, Lane 141, Xinyi Road, Xinyi District, Keelung City, 201",1,27
Chang Di Ling Restaurant,"No. 82號之7號, Jijin 3rd Road, Anle District, Keelung City, 204",1,27
木野和風家庭料理,"No. 30號, Lane 2, Anheyi Street, Anle District, Keelung City, 204",1,27
Hong Yang Yi Shi Restaurant,"No. 2號, Lane 135, Jijinyi Road, Anle District, Keelung City, 204",1,27
