Name,Address,Country,City
Spiral,"Sofitel Philippine Plaza Manila, CCP Complex, Roxas Blvd, 1300 Pasay, Metro Manila, Philippines",2,2
Café Ilang-Ilang,"The Manila Hotel, 1 Rizal Park, Ermita, Manila, 0913 Metro Manila, Philippines",2,2
Sky Deck View Bar,"The Bayleaf, Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",2,2
My Kitchen by Chef Chris,"Paco The Oasis Paco Park Hotel, 1032-34 Belen Street, Paco, Manila, Philippines",2,2
The Aristocrat,"423 San Andres St, Malate, Manila, 1004 Metro Manila, Philippines",2,2
Barbara’s Heritage Restaurant,"Plaza Sans Luis Complex, General Luna St, Intramuros, Manila, 1002 Metro Manila, Philippines",2,2
Bistro Remedios,"1911 M. Adriatico St, Remedios Circle, Malate, 1004 Metro Manila, Philippines",2,2
Movie Stars Café,"G/F Centris Station, EDSA cor, Quezon Ave, Quezon City, Metro Manila, Philippines",2,2
Ilustrado Restaurant,"General Luna Street, Intramuros, Manila, 1002 Metro Manila, Philippines",2,2
Harbor View Restaurant,"South Dr, Ermita, Manila, 1000 Metro Manila, Philippines",2,2
MilkyWay Café,"Milkyway, 900 Antonio Arnaiz Ave, Makati, 1200 Metro Manila, Philippines",2,2
Abe's Restaurant,"Mcarthur Avenue, Bonifacio Global, Taguig, 1630 Metro Manila, Philippines",2,2
Manam Comfort Filipino,"Ayala Center Makati, Makati City, Esperanza St, Makati, Metro Manila, Philippines",2,2
Romulo Café,"148 Jupiter St. corner Comet St., Bel-Air, Makati, 1209 Metro Manila, Philippines",2,2
Sarsa Kitchen + Bar,"SM Mega Mall, 202 EDSA Cor Dona Julia Vargas Ave Ortigas Center, Ortigas Center, Mandaluyong, 1550 Metro Manila, Philippines",2,2
The Singing Cook & Waiters,"Roxas Blvd, Pasay, Metro Manila, Philippines",2,2
Gerry's Grill,"SM City Manila, 4th, Manila, 1000 Metro Manila, Philippines",2,2
La Cocina de Tita Moning,"San Rafael Street San Miguel, Manila, 1005, Philippines",2,2
People's Palace,"Greenbelt 3 Esperanza Street, Makati, Metro Manila, 1223, Philippines",2,2
Kashmir,"5th Avenue, Taguig, Metro Manila, 1223, Philippines",2,2
Café Ysabel,"175 M. Paterno, San Juan, Metro Manila, 1500, Philippines",2,2
Gloria Maris,"General Roxas Avenue, Cubao Quezon City, Metro Manila, Philippines",2,2
Mendokoro Ramenba,"Salcedo Village Soliman, Makati, Metro Manila, 1227, Philippines",2,2
Your Local,"106 Esteban, Legazpi Village, Makati, Kalakhang Maynila, Philippines",2,2
Beso Cucina Vinoteka,"7th Avenue, C3 Building, Bonifacio High Street, Manila, 1634, Philippines",2,2
